text,predicted_tone
I want to congratulate the minister on this excellent initiative.,supportive
The government's complete failure on this issue is absolutely disgraceful.,antagonistic
We gather today to remember the tragic loss of life.,mournful
This is a historic achievement and a wonderful day for our nation!,celebratory
The committee will meet next Tuesday to review the amendments.,other
This reckless policy will destroy jobs and hurt families.,antagonistic
Our hearts go out to those affected by this disaster.,mournful
We are thrilled to announce the successful completion of this project.,celebratory
The document contains three main sections.,other
I thank the honourable member for raising this important question.,supportive
